snippet_id,snippet_title,chain_index,provider,total_steps,correct_steps,input_tokens,output_tokens
23,"Top medalists at Rio 2016",0,olympics,13,9,3229,76
24,"Top medalists from London 2012",0,olympics,13,8,3229,65
25,"Number of distinct countries in Olympics",0,olympics,11,3,2035,55
26,"Olympic medals table by athlete",0,olympics,15,9,3327,75
27,"You Draw It: Carbon emissions of USA",0,worldbank,5,3,3433,25
28,"You Draw It: Olympic medals won by China",0,olympics,15,5,4613,75
29,"You Guess: Population of top 6 countries of the world",0,worldbank,5,2,6371,36
30,"Top countries at Rio 2016",0,olympics,13,7,3179,76
31,"Guess the number of Olympic teams",0,olympics,16,3,3115,80
32,"Guess the number of Turing people",0,shared,6,4,961,30
33,"Guess the number of Turing people (2.)",0,shared,10,8,2154,50
34,"Guess the number of Turing people (3.)",0,shared,10,8,2255,50
35,"Cambridge Faculty Fellows",0,shared,10,8,1991,50
36,"New Rio 2016 Golds",0,shared,22,8,5702,110
37,"Top 10 Government Departments by 2015-16 Expenditure",0,shared,12,9,3598,60
38,"Most viewed Turing videos on YouTube",0,shared,8,6,3419,40
39,"UK spending on tertiary education",0,expenditure,4,2,424,20
40,"UK spending on tertiary education",0,expenditure,4,2,472,20
41,"You Draw It: Carbon emissions of USA (new)",0,worldbank,5,4,3568,25
42,"GDP and Mark Spitz' medals",0,worldbank,4,3,6066,20
42,"GDP and Mark Spitz' medals",1,olympics,13,5,6358,65
43,"Video views per date",0,shared,6,4,1944,30
44,"Classification of the Functions of Government (COFOG)",0,shared,8,3,1483,51
45,"Compost: CO2 emissions line chart",0,worldbank,4,2,3113,20
45,"Compost: CO2 emissions line chart",1,worldbank,4,3,3103,20
46,"Compost: Top polluters bar chart",0,worldbank,5,2,2834,25
47,"Unemployment in Italy",0,worldbank,4,3,7184,20
47,"Unemployment in Italy",1,worldbank,4,3,7207,20
48,"You Draw It: United Kingdom CO2 emissions with axis labels",0,worldbank,4,2,3109,20
49,"Guess the number of Olympic teams",0,shared,13,8,2325,65
50,"John vs. James in Olympic games",0,shared,22,13,5698,110
50,"John vs. James in Olympic games",1,shared,22,13,5698,121
54,"Turing Event visits",0,shared,10,6,1758,50
55,"Number of attendees per kind of event",0,shared,16,9,3333,80
56,"Tomas' papers at the Turing",0,shared,7,3,1260,35
57,"Price of Gold 1969-2017",0,shared,6,4,920,30
58,"Exchange Rate of Pound Sterling to US Dollar 2010-2017",0,shared,6,5,1011,30
59,"Historical FTSE100 2009-2016",0,shared,6,3,1058,30
60,"Guess the number of Turing people",0,shared,14,6,2448,81
61,"Total number of YouTube views",0,shared,10,5,5854,50
62,"Guess the number of Turing people",0,shared,14,7,2618,70
63,"FTSE100: Moving average",0,shared,12,6,2328,60
64,"Mortality Rate in USA",0,worldbank,5,3,4308,25
64,"Mortality Rate in USA",1,worldbank,5,4,4308,25
65,"MozFest - Government expenditure",0,expenditure,5,2,723,25
66,"MozFest - University enrolment",0,worldbank,5,4,7640,25
66,"MozFest - University enrolment",1,worldbank,5,3,7565,36
66,"MozFest - University enrolment",2,worldbank,5,4,7657,25
67,"MozFest - Number of Olympic teams",0,olympics,10,3,1640,50
68,"MozFest - Turing fellows",0,shared,14,9,2809,70
69,"MozFest - Guess US emissions",0,worldbank,4,3,3097,20
70,"MozFest - Guess number of gold medals",0,olympics,9,4,1573,45
71,"MozFest - University enrolment",0,worldbank,5,4,7533,25
71,"MozFest - University enrolment",1,worldbank,5,3,7292,25
71,"MozFest - University enrolment",2,worldbank,5,2,7262,25
71,"MozFest - University enrolment",3,worldbank,5,3,7557,25
72,"MozFest - Trees in Linz, Austria",0,shared,14,6,3464,70
73,"Libraries",0,shared,12,5,1792,60
75,"Gender Pay Gap",0,shared,16,6,4799,80
76,"tgergg",0,olympics,9,3,1274,56
77,"Trade war between US and China",0,shared,7,3,1047,35
78,"Imports from USA to China in 2016 (billions of $)",0,shared,6,3,833,30
79,"Imports from China to USA in 2016 (billions of $)",0,shared,6,4,815,30
80,"Trade war between US and China (with legend)",0,shared,7,3,1125,35
81,"Guess UK government expenditure",0,expenditure,5,2,743,25
83,"US v China",0,worldbank,4,3,3037,20
83,"US v China",1,worldbank,4,3,3027,20
84,"Kent Lords travel expenses ",0,shared,12,8,4681,60
85,"If Phelps was a country",0,olympics,11,3,4862,55
85,"If Phelps was a country",1,olympics,9,4,1589,45
86,"If Phelps was a country (nicer colors)",0,olympics,11,7,5084,66
86,"If Phelps was a country (nicer colors)",1,olympics,9,6,1787,45
87,"Who does the Doctor fight most frequently?",0,drWho,17,7,7185,107
90,"CO2 emissions -- USA vs China",0,worldbank,4,2,3053,20
90,"CO2 emissions -- USA vs China",1,worldbank,4,3,3043,20
