snippet_id,snippet_title,chain_index,provider,total_steps,correct_steps
23,"Top medalists at Rio 2016",0,olympics,13,11
24,"Top medalists from London 2012",0,olympics,13,12
25,"Number of distinct countries in Olympics",0,olympics,11,5
26,"Olympic medals table by athlete",0,olympics,15,12
27,"You Draw It: Carbon emissions of USA",0,worldbank,5,3
28,"You Draw It: Olympic medals won by China",0,olympics,15,9
29,"You Guess: Population of top 6 countries of the world",0,worldbank,5,2
30,"Top countries at Rio 2016",0,olympics,13,12
31,"Guess the number of Olympic teams",0,olympics,16,5
32,"Guess the number of Turing people",0,shared,6,3
33,"Guess the number of Turing people (2.)",0,shared,10,6
34,"Guess the number of Turing people (3.)",0,shared,10,7
35,"Cambridge Faculty Fellows",0,shared,10,6
36,"New Rio 2016 Golds",0,shared,22,8
37,"Top 10 Government Departments by 2015-16 Expenditure",0,shared,12,10
38,"Most viewed Turing videos on YouTube",0,shared,8,7
39,"UK spending on tertiary education",0,expenditure,4,4
40,"UK spending on tertiary education",0,expenditure,4,3
41,"You Draw It: Carbon emissions of USA (new)",0,worldbank,5,3
42,"GDP and Mark Spitz' medals",0,worldbank,4,4
42,"GDP and Mark Spitz' medals",1,olympics,13,10
43,"Video views per date",0,shared,6,4
44,"Classification of the Functions of Government (COFOG)",0,shared,8,2
45,"Compost: CO2 emissions line chart",0,worldbank,4,4
45,"Compost: CO2 emissions line chart",1,worldbank,4,4
46,"Compost: Top polluters bar chart",0,worldbank,5,2
47,"Unemployment in Italy",0,worldbank,4,3
47,"Unemployment in Italy",1,worldbank,4,3
48,"You Draw It: United Kingdom CO2 emissions with axis labels",0,worldbank,4,4
49,"Guess the number of Olympic teams",0,shared,13,7
50,"John vs. James in Olympic games",0,shared,22,15
50,"John vs. James in Olympic games",1,shared,22,15
54,"Turing Event visits",0,shared,10,6
55,"Number of attendees per kind of event",0,shared,16,8
56,"Tomas' papers at the Turing",0,shared,7,4
57,"Price of Gold 1969-2017",0,shared,6,4
58,"Exchange Rate of Pound Sterling to US Dollar 2010-2017",0,shared,6,3
59,"Historical FTSE100 2009-2016",0,shared,6,2
60,"Guess the number of Turing people",0,shared,14,7
61,"Total number of YouTube views",0,shared,10,7
62,"Guess the number of Turing people",0,shared,14,6
63,"FTSE100: Moving average",0,shared,12,6
64,"Mortality Rate in USA",0,worldbank,5,4
64,"Mortality Rate in USA",1,worldbank,5,4
65,"MozFest - Government expenditure",0,expenditure,5,2
66,"MozFest - University enrolment",0,worldbank,5,4
66,"MozFest - University enrolment",1,worldbank,5,3
66,"MozFest - University enrolment",2,worldbank,5,3
67,"MozFest - Number of Olympic teams",0,olympics,10,5
68,"MozFest - Turing fellows",0,shared,14,10
69,"MozFest - Guess US emissions",0,worldbank,4,3
70,"MozFest - Guess number of gold medals",0,olympics,9,6
71,"MozFest - University enrolment",0,worldbank,5,3
71,"MozFest - University enrolment",1,worldbank,5,3
71,"MozFest - University enrolment",2,worldbank,5,4
71,"MozFest - University enrolment",3,worldbank,5,3
72,"MozFest - Trees in Linz, Austria",0,shared,14,5
73,"Libraries",0,shared,12,4
75,"Gender Pay Gap",0,shared,16,5
76,"tgergg",0,olympics,9,2
77,"Trade war between US and China",0,shared,7,3
78,"Imports from USA to China in 2016 (billions of $)",0,shared,6,2
79,"Imports from China to USA in 2016 (billions of $)",0,shared,6,2
80,"Trade war between US and China (with legend)",0,shared,7,3
81,"Guess UK government expenditure",0,expenditure,5,2
83,"US v China",0,worldbank,4,4
83,"US v China",1,worldbank,4,4
84,"Kent Lords travel expenses ",0,shared,12,11
85,"If Phelps was a country",0,olympics,11,6
85,"If Phelps was a country",1,olympics,9,5
86,"If Phelps was a country (nicer colors)",0,olympics,11,8
86,"If Phelps was a country (nicer colors)",1,olympics,9,5
87,"Who does the Doctor fight most frequently?",0,drWho,17,7
90,"CO2 emissions -- USA vs China",0,worldbank,4,4
90,"CO2 emissions -- USA vs China",1,worldbank,4,4
