snippet_id,chain_index,step_index,provider,step,n_options,n_members,api_called,correct,truth_rank,truth_tied,truth_prob,top1_name,top1_prob,top2_name,top2_prob,confidence,entropy_bits,input_tokens,output_tokens
23,0,0,olympics,filter data,9,9,1,1,1,1,0.400000,filter data,0.400000,get series,0.370000,0.3200,1.6065,1265,91
23,0,1,olympics,Games is,37,37,1,0,2,1,0.310000,Medal is,0.380000,Games is,0.310000,0.3500,2.4772,1511,362
23,0,2,olympics,Rio (2016),29,29,1,1,1,1,0.990000,Rio (2016),0.990000,London (2012),0.010000,0.9900,0.0808,1578,392
23,0,3,olympics,then,74,74,1,1,1,1,0.840000,then,0.840000,and Medal is,0.120000,0.8300,0.8241,1879,750
23,0,4,olympics,group data,9,9,1,1,1,1,0.800000,group data,0.800000,get series,0.170000,0.7800,0.8714,1288,91
23,0,5,olympics,by Athlete,13,13,1,0,3,1,0.060000,by Gold,0.710000,by Team,0.180000,0.6800,1.2558,1321,123
23,0,6,olympics,sum Gold,43,43,1,1,1,1,0.500000,sum Gold,0.500000,count distinct Gold,0.190000,0.4800,2.0560,1582,408
23,0,7,olympics,then,28,28,1,1,1,1,0.830000,then,0.830000,sum Silver,0.080000,0.8100,1.0126,1480,285
23,0,8,olympics,sort data,9,9,1,1,1,1,0.650000,sort data,0.650000,get series,0.350000,0.6000,0.9341,1308,91
23,0,9,olympics,by Gold descending,6,6,1,1,1,1,0.870000,by Gold descending,0.870000,by Gold,0.060000,0.8400,0.7558,1294,70
23,0,10,olympics,then,4,4,1,1,1,1,0.910000,then,0.910000,and by Athlete descending,0.050000,0.8800,0.5581,1287,53
23,0,11,olympics,paging,9,9,1,0,2,2,0.020000,get series,0.950000,drop columns,0.020000,0.9400,0.3625,1323,91
23,0,12,olympics,take(8),4,4,1,1,1,1,0.760000,take,0.760000,then,0.230000,0.6800,0.8550,1288,46
24,0,0,olympics,filter data,9,9,1,0,2,1,0.330000,group data,0.400000,filter data,0.330000,0.3100,1.6283,1265,91
24,0,1,olympics,Games is,37,37,1,1,1,1,0.610000,Games is,0.610000,Medal is,0.150000,0.5900,1.9036,1511,361
24,0,2,olympics,London (2012),29,29,1,1,1,1,1.000000,London (2012),1.000000,preview,0.000000,1.0000,0.0000,1578,392
24,0,3,olympics,then,74,74,1,1,1,1,0.810000,then,0.810000,and Medal is,0.120000,0.8000,0.9444,1879,750
24,0,4,olympics,group data,9,9,1,1,1,1,0.840000,group data,0.840000,get series,0.150000,0.8000,0.6883,1288,91
24,0,5,olympics,by Athlete,13,13,1,0,2,1,0.360000,by Gold,0.450000,by Athlete,0.360000,0.3900,1.6983,1321,123
24,0,6,olympics,sum Gold,43,43,1,1,1,1,0.370000,sum Gold,0.370000,count distinct Gold,0.310000,0.3400,2.2041,1582,408
24,0,7,olympics,then,28,28,1,1,1,1,0.810000,then,0.810000,sum Silver,0.110000,0.7900,0.9616,1480,285
24,0,8,olympics,sort data,9,9,1,1,1,1,0.660000,sort data,0.660000,get series,0.340000,0.6100,0.9248,1308,91
24,0,9,olympics,by Gold descending,6,6,1,1,1,1,0.880000,by Gold descending,0.880000,then,0.050000,0.8500,0.7074,1294,70
24,0,10,olympics,then,4,4,1,1,1,1,0.900000,then,0.900000,and by Athlete descending,0.050000,0.8600,0.6051,1287,53
24,0,11,olympics,paging,9,9,1,0,2,1,0.040000,get series,0.950000,paging,0.040000,0.9300,0.3225,1323,91
24,0,12,olympics,take(8),4,4,1,1,1,1,0.750000,take,0.750000,then,0.240000,0.6700,0.8719,1288,46
25,0,0,olympics,group data,9,9,1,0,2,1,0.150000,get series,0.810000,group data,0.150000,0.7900,0.8750,1251,91
25,0,1,olympics,by Games,13,13,1,0,3,1,0.190000,by Team,0.530000,by Year,0.280000,0.4800,1.4549,1283,123
25,0,2,olympics,average Year,43,43,1,0,5,39,0.000000,count distinct Team,0.910000,then,0.070000,0.9000,0.5252,1543,409
25,0,3,olympics,count distinct Team,28,28,1,1,1,1,0.880000,count distinct Team,0.880000,then,0.100000,0.8700,0.6074,1441,287
25,0,4,olympics,then,26,26,1,1,1,1,0.960000,then,0.960000,count all,0.010000,0.9500,0.3223,1428,264
25,0,5,olympics,sort data,9,9,1,0,2,1,0.060000,get series,0.920000,sort data,0.060000,0.9000,0.4871,1275,91
25,0,6,olympics,by Year,8,8,1,0,4,2,0.040000,then,0.720000,by Games descending,0.120000,0.6900,1.4952,1274,83
25,0,7,olympics,then,6,6,1,1,1,1,0.860000,then,0.860000,and by Games,0.090000,0.8400,0.8120,1268,70
25,0,8,olympics,get series,9,9,1,1,1,1,0.930000,get series,0.930000,get the data,0.030000,0.9200,0.4285,1289,91
25,0,9,olympics,with key Year,4,4,1,1,1,1,0.750000,with key Year,0.750000,with key Games,0.240000,0.6700,0.8719,1261,54
25,0,10,olympics,and value Team,4,4,1,1,1,1,0.790000,and value Team,0.790000,and value Year,0.130000,0.7400,0.9863,1267,54
26,0,0,olympics,group data,9,9,1,1,1,1,0.630000,group data,0.630000,get the data,0.310000,0.5700,1.2263,1259,91
26,0,1,olympics,by Athlete,13,13,1,1,1,1,0.970000,by Athlete,0.970000,by Medal,0.020000,0.9600,0.2219,1291,124
26,0,2,olympics,sum Gold,43,43,1,0,8,2,0.010000,then,0.400000,count all,0.280000,0.3700,2.2199,1552,407
26,0,3,olympics,sum Silver,28,28,1,1,1,1,0.560000,sum Silver,0.560000,then,0.300000,0.5400,1.6970,1450,286
26,0,4,olympics,sum Bronze,25,25,1,1,1,1,0.890000,sum Bronze,0.890000,then,0.100000,0.8800,0.5483,1433,261
26,0,5,olympics,concatenate values of Discipline,22,22,1,0,3,2,0.050000,then,0.680000,count all,0.130000,0.6600,1.6447,1416,235
26,0,6,olympics,concatenate values of Team,20,20,1,0,3,1,0.100000,then,0.630000,count all,0.180000,0.6000,1.6403,1406,214
26,0,7,olympics,then,18,18,1,1,1,1,0.730000,then,0.730000,count all,0.160000,0.7000,1.3102,1396,193
26,0,8,olympics,sort data,9,9,1,1,1,1,0.850000,sort data,0.850000,paging,0.110000,0.8200,0.7353,1306,91
26,0,9,olympics,by Gold descending,14,14,1,1,1,1,0.740000,by Gold descending,0.740000,then,0.120000,0.7100,1.2671,1352,138
26,0,10,olympics,and by Silver descending,12,12,1,0,2,1,0.360000,then,0.450000,and by Silver descending,0.360000,0.3900,1.7053,1353,129
26,0,11,olympics,and by Bronze descending,10,10,1,0,2,1,0.410000,then,0.490000,and by Bronze descending,0.410000,0.4200,1.3639,1343,110
26,0,12,olympics,then,8,8,1,1,1,1,0.990000,then,0.990000,and by Team,0.010000,0.9800,0.0808,1333,91
26,0,13,olympics,paging,9,9,1,1,1,1,0.880000,paging,0.880000,get the data,0.090000,0.8600,0.6743,1335,90
26,0,14,olympics,take(10),4,4,1,1,1,1,0.810000,take,0.810000,then,0.190000,0.7400,0.7015,1300,46
27,0,0,worldbank,byCountry,2,2,1,1,1,1,1.000000,byCountry,1.000000,byYear,0.000000,1.0000,0.0000,1232,38
27,0,1,worldbank,United States,254,254,1,1,1,1,1.000000,United States,1.000000,Arab World,0.000000,0.9900,0.0000,3365,2397
27,0,2,worldbank,Climate Change,22,22,1,0,2,1,0.370000,Environment,0.610000,Climate Change,0.370000,0.5800,1.0986,1395,209
27,0,3,worldbank,CO2 emissions (kt),67,67,1,1,1,1,0.980000,CO2 emissions (kt),0.980000,CO2 emissions (metric tons per capita),0.010000,0.9700,0.1614,2403,1200
27,0,4,worldbank,take(10),26,26,1,1,1,1,0.640000,take,0.640000,filter,0.130000,0.6100,2.0802,1421,225
28,0,0,olympics,filter data,9,9,1,0,2,1,0.140000,get series,0.850000,filter data,0.140000,0.8100,0.6628,1290,91
28,0,1,olympics,Team is,37,37,1,1,1,1,0.410000,Team is,0.410000,Year is greater than,0.320000,0.3800,2.2371,1536,361
28,0,2,olympics,China,150,150,1,1,1,1,1.000000,China,1.000000,preview,0.000000,1.0000,0.0000,2388,1316
28,0,3,olympics,then,74,74,1,1,1,1,0.610000,then,0.610000,and Year is greater than,0.240000,0.5900,1.6735,1898,750
28,0,4,olympics,group data,9,9,1,0,2,1,0.120000,get series,0.810000,group data,0.120000,0.7800,0.9984,1307,91
28,0,5,olympics,by Games,13,13,1,1,1,1,0.710000,by Games,0.710000,by Year,0.270000,0.6800,0.9937,1340,123
28,0,6,olympics,average Year,43,43,1,0,12,32,0.000000,count all,0.500000,then,0.160000,0.4800,2.2644,1600,408
28,0,7,olympics,count all,28,28,1,1,1,1,0.280000,count all,0.280000,count distinct Medal,0.250000,0.2400,2.6877,1498,286
