snippet_id,chain_index,step_index,provider,step,n_options,n_members,api_called,correct,truth_rank,truth_tied,truth_prob,top1_name,top1_prob,top2_name,top2_prob,confidence,entropy_bits,input_tokens,output_tokens
23,0,0,olympics,filter data,9,9,1,0,5,5,0.000000,get the data,0.900000,group data,0.070000,0.8800,0.5847,425,92
23,0,1,olympics,Games is,37,37,1,1,1,1,0.480000,Games is,0.480000,Medal is,0.220000,0.4500,2.2017,671,361
23,0,2,olympics,Rio (2016),29,29,1,1,1,1,1.000000,Rio (2016),1.000000,preview,0.000000,1.0000,0.0000,738,392
23,0,3,olympics,then,74,74,1,1,1,2,0.310000,and Medal is,0.310000,then,0.310000,0.3000,2.4594,1039,750
23,0,4,olympics,group data,9,9,1,1,1,1,0.900000,group data,0.900000,sort data,0.060000,0.8800,0.5985,448,91
23,0,5,olympics,by Athlete,13,13,1,1,1,1,0.560000,by Athlete,0.560000,by Gold,0.290000,0.5200,1.6501,481,124
23,0,6,olympics,sum Gold,43,43,1,1,1,1,0.750000,sum Gold,0.750000,count distinct Gold,0.130000,0.7300,1.2547,742,408
23,0,7,olympics,then,28,28,1,0,2,1,0.340000,preview,0.350000,then,0.340000,0.3100,2.0924,640,285
23,0,8,olympics,sort data,9,9,1,1,1,1,0.940000,sort data,0.940000,get the data,0.020000,0.9400,0.4625,468,91
23,0,9,olympics,by Gold descending,6,6,1,1,1,1,0.920000,by Gold descending,0.920000,then,0.030000,0.9100,0.5271,454,70
23,0,10,olympics,then,4,4,1,1,1,1,0.680000,then,0.680000,preview,0.300000,0.5700,1.0323,447,53
23,0,11,olympics,paging,9,9,1,0,7,1,0.040000,get the data,0.270000,get series,0.260000,0.1700,2.6094,483,92
23,0,12,olympics,take(8),4,4,1,1,1,1,0.450000,take,0.450000,then,0.350000,0.2700,1.5702,448,46
24,0,0,olympics,filter data,9,9,1,0,4,3,0.010000,get the data,0.830000,group data,0.110000,0.8100,0.9245,425,92
24,0,1,olympics,Games is,37,37,1,1,1,1,0.450000,Games is,0.450000,Medal is,0.180000,0.4200,2.3636,671,361
24,0,2,olympics,London (2012),29,29,1,1,1,1,1.000000,London (2012),1.000000,preview,0.000000,1.0000,0.0000,738,392
24,0,3,olympics,then,74,74,1,1,1,1,0.340000,then,0.340000,and Medal is,0.270000,0.3200,2.4876,1039,750
24,0,4,olympics,group data,9,9,1,1,1,1,0.800000,group data,0.800000,get series,0.100000,0.7800,1.0240,448,91
24,0,5,olympics,by Athlete,13,13,1,1,1,1,0.590000,by Athlete,0.590000,by Gold,0.330000,0.5400,1.3809,481,124
24,0,6,olympics,sum Gold,43,43,1,1,1,1,0.680000,sum Gold,0.680000,count distinct Gold,0.170000,0.6700,1.4178,742,408
24,0,7,olympics,then,28,28,1,1,1,1,0.410000,then,0.410000,preview,0.300000,0.3800,2.0927,640,285
24,0,8,olympics,sort data,9,9,1,1,1,1,0.930000,sort data,0.930000,filter data,0.020000,0.9200,0.4360,468,91
24,0,9,olympics,by Gold descending,6,6,1,1,1,1,0.930000,by Gold descending,0.930000,then,0.030000,0.9000,0.4749,454,70
24,0,10,olympics,then,4,4,1,1,1,1,0.590000,then,0.590000,preview,0.390000,0.4600,1.1118,447,53
24,0,11,olympics,paging,9,9,1,0,6,2,0.040000,get series,0.320000,get the data,0.250000,0.2200,2.5240,483,91
24,0,12,olympics,take(8),4,4,1,0,2,1,0.370000,then,0.420000,take,0.370000,0.2400,1.5872,448,46
25,0,0,olympics,group data,9,9,1,0,2,1,0.170000,get the data,0.770000,group data,0.170000,0.7300,1.0436,411,92
25,0,1,olympics,by Games,13,13,1,0,3,1,0.120000,by Team,0.550000,by Year,0.320000,0.5000,1.4339,443,123
25,0,2,olympics,average Year,43,43,1,0,3,41,0.000000,count distinct Team,0.990000,and Team,0.010000,0.9800,0.0808,703,409
25,0,3,olympics,count distinct Team,28,28,1,1,1,1,1.000000,count distinct Team,1.000000,preview,0.000000,0.9900,0.0000,601,287
25,0,4,olympics,then,26,26,1,0,2,1,0.180000,preview,0.690000,then,0.180000,0.6700,1.4093,588,264
25,0,5,olympics,sort data,9,9,1,1,1,1,0.450000,sort data,0.450000,preview,0.160000,0.3700,2.3184,435,91
25,0,6,olympics,by Year,8,8,1,1,1,1,0.480000,by Year,0.480000,preview,0.140000,0.4000,2.1553,434,84
25,0,7,olympics,then,6,6,1,0,2,1,0.220000,preview,0.700000,then,0.220000,0.6400,1.2172,428,70
25,0,8,olympics,get series,9,9,1,0,3,1,0.180000,preview,0.440000,get the data,0.260000,0.3600,1.9837,449,90
25,0,9,olympics,with key Year,4,4,1,1,1,1,0.720000,with key Year,0.720000,preview,0.160000,0.6300,1.2415,421,54
25,0,10,olympics,and value Team,4,4,1,1,1,1,0.410000,and value Team,0.410000,and value Year,0.380000,0.2000,1.6970,427,54
26,0,0,olympics,group data,9,9,1,0,2,1,0.230000,get the data,0.710000,group data,0.230000,0.6700,1.1571,419,92
26,0,1,olympics,by Athlete,13,13,1,1,1,1,0.990000,by Athlete,0.990000,by Medal,0.010000,0.9800,0.0808,451,124
26,0,2,olympics,sum Gold,43,43,1,0,9,2,0.010000,count all,0.520000,count distinct Medal,0.180000,0.5000,2.2478,712,408
26,0,3,olympics,sum Silver,28,28,1,1,1,1,0.670000,sum Silver,0.670000,count all,0.190000,0.6400,1.5564,610,286
26,0,4,olympics,sum Bronze,25,25,1,1,1,1,0.970000,sum Bronze,0.970000,count all,0.010000,0.9600,0.2419,593,261
26,0,5,olympics,concatenate values of Discipline,22,22,1,0,2,1,0.290000,count all,0.390000,concatenate values of Discipline,0.290000,0.3500,2.2561,576,236
26,0,6,olympics,concatenate values of Team,20,20,1,1,1,1,0.580000,concatenate values of Team,0.580000,count all,0.320000,0.5500,1.5101,566,219
26,0,7,olympics,then,18,18,1,0,3,1,0.050000,count all,0.750000,count distinct Medal,0.110000,0.7300,1.3956,556,194
26,0,8,olympics,sort data,9,9,1,1,1,1,0.880000,sort data,0.880000,windowing,0.060000,0.8500,0.7045,466,91
26,0,9,olympics,by Gold descending,14,14,1,1,1,1,0.540000,by Gold descending,0.540000,by Athlete descending,0.200000,0.5100,1.9743,512,138
26,0,10,olympics,and by Silver descending,12,12,1,1,1,1,0.570000,and by Silver descending,0.570000,then,0.170000,0.5300,1.8494,513,132
26,0,11,olympics,and by Bronze descending,10,10,1,1,1,1,0.870000,and by Bronze descending,0.870000,and by Bronze,0.110000,0.8500,0.6380,503,113
26,0,12,olympics,then,8,8,1,1,1,1,0.600000,then,0.600000,preview,0.350000,0.5300,1.2569,493,91
26,0,13,olympics,paging,9,9,1,0,3,1,0.140000,windowing,0.490000,filter data,0.250000,0.4200,1.9587,495,92
26,0,14,olympics,take(10),4,4,1,1,1,1,0.930000,take,0.930000,then,0.050000,0.9100,0.4463,460,46
